SN,Gender,Purchase Count,Average Purchase Price,Total Purchase Value
Lisosia93,Male,5,$3.79,$18.96
Idastidru52,Male,4,$3.86,$15.45
Chamjask73,Female,3,$4.61,$13.83
Iral74,Male,4,$3.40,$13.62
Iskadarya95,Male,3,$4.37,$13.10
Ilarin91,Male,3,$4.23,$12.70
Ialallo29,Female,3,$3.95,$11.84
Tyidaim51,Female,3,$3.94,$11.83
Lassilsala30,Male,3,$3.84,$11.51
Chadolyla44,Male,3,$3.82,$11.46
Iri67,Male,3,$3.79,$11.37
Inguron55,Male,3,$3.70,$11.11
Siallylis44,Male,3,$3.46,$10.37
Saistyphos30,Male,3,$3.44,$10.33
Phyali88,Female,3,$3.43,$10.30
Strithenu87,Male,3,$3.39,$10.18
Lisim78,Male,3,$3.34,$10.02
Haillyrgue51,Male,3,$3.17,$9.50
Phistym51,Male,2,$4.75,$9.50
Lamil79,Male,2,$4.64,$9.29
Aina42,Male,3,$3.07,$9.22
Saesrideu94,Male,2,$4.59,$9.18
Arin32,Male,2,$4.54,$9.09
Rarallo90,Male,3,$3.02,$9.05
Baelollodeu94,Female,2,$4.51,$9.03
Aelin32,Male,3,$2.99,$8.98
Lisopela58,Male,3,$2.95,$8.86
Saedaiphos46,Male,3,$2.94,$8.83
Reunasu60,Female,2,$4.41,$8.82
Chanastnya43,Male,3,$2.94,$8.82
Raesty92,Male,3,$2.91,$8.73
Sundadar27,Male,2,$4.35,$8.71
Aerithllora36,Female,2,$4.32,$8.64
Hada39,Male,3,$2.86,$8.57
Chamilsala65,Female,2,$4.28,$8.55
Silaera56,Male,3,$2.83,$8.48
Frichocesta66,Male,2,$4.19,$8.37
Chadista79,Male,2,$4.17,$8.35
Pheodaisun84,Male,3,$2.77,$8.31
Undosian34,Male,2,$4.15,$8.30
Idai61,Male,3,$2.74,$8.23
Lassimla92,Male,2,$4.08,$8.17
Umolrian85,Female,3,$2.71,$8.13
Zontibe81,Male,3,$2.68,$8.03
Sondastsda82,Male,3,$2.63,$7.89
Zhisrisu83,Male,2,$3.94,$7.89
Aidaillodeu39,Male,2,$3.93,$7.86
Sundirrala66,Male,2,$3.89,$7.78
Tyaelorap29,Male,2,$3.85,$7.71
Iaralsuir44,Male,2,$3.81,$7.62
Idaidil28,Male,2,$3.79,$7.59
Aiduecal76,Male,2,$3.79,$7.58
Chanosian48,Other / Non-Disclosed,2,$3.76,$7.52
Malunil62,Male,2,$3.76,$7.52
Hiasri33,Male,2,$3.75,$7.49
Asur53,Male,3,$2.48,$7.44
Tyida79,Male,2,$3.70,$7.39
Ilosia37,Male,2,$3.67,$7.35
Eusri70,Female,2,$3.67,$7.34
Lirtilsa72,Male,2,$3.67,$7.33
Leyirra83,Female,2,$3.65,$7.30
Aelastirin39,Male,2,$3.64,$7.29
Siala43,Male,2,$3.63,$7.26
Pheosrinudeu70,Male,2,$3.58,$7.16
Halaecal66,Male,2,$3.55,$7.11
Quinarap53,Male,2,$3.54,$7.07
Idairin51,Other / Non-Disclosed,2,$3.50,$7.00
Isri34,Male,2,$3.48,$6.97
Siarithria38,Other / Non-Disclosed,2,$3.46,$6.91
Haisrisuir60,Male,2,$3.43,$6.86
Lirtastsda29,Male,2,$3.42,$6.84
Aelly27,Male,2,$3.39,$6.79
Aithelis62,Male,2,$3.39,$6.78
Seudaillorap38,Male,2,$3.35,$6.71
Yalae81,Male,2,$3.34,$6.69
Smaistysu35,Male,2,$3.34,$6.69
Phaelap26,Female,2,$3.32,$6.64
Assassasta79,Male,2,$3.31,$6.63
Sausosia74,Male,2,$3.30,$6.61
Lisast87,Male,2,$3.30,$6.60
Leetirraya83,Male,2,$3.29,$6.58
Chanastst38,Male,2,$3.29,$6.58
Heuli25,Female,2,$3.28,$6.55
Yadacal26,Male,2,$3.27,$6.54
Lassadarsda57,Female,2,$3.25,$6.49
Sondadar26,Male,2,$3.24,$6.47
Saelaephos52,Male,2,$3.18,$6.36
Chamimla85,Male,3,$2.10,$6.30
Lirtistanya48,Male,2,$3.15,$6.30
Chanossanya44,Male,2,$3.14,$6.28
Iasrira89,Male,2,$3.12,$6.25
Yathecal82,Female,3,$2.07,$6.22
Ilmol66,Female,2,$3.08,$6.17
Chanirrala39,Male,2,$3.08,$6.15
Bartassaya73,Male,2,$3.06,$6.12
Ennrian78,Male,2,$3.04,$6.08
Chadadarla74,Male,2,$3.02,$6.03
Yathedeu43,Male,2,$3.01,$6.02
Jiskimya77,Male,2,$2.99,$5.98
Tyeosri53,Male,2,$2.96,$5.92
Assistasda42,Male,2,$2.96,$5.92
Hari50,Female,2,$2.96,$5.91
Frichadaran88,Male,2,$2.95,$5.89
Eodailis27,Male,2,$2.88,$5.76
Anallorgue57,Male,2,$2.85,$5.70
Lisim51,Male,2,$2.83,$5.66
Sondim68,Female,2,$2.83,$5.66
Aelollo59,Male,2,$2.82,$5.63
Ardcil81,Male,2,$2.79,$5.58
Iarilis73,Male,2,$2.75,$5.49
Phaena87,Male,3,$1.83,$5.49
Mindesi74,Male,2,$2.74,$5.48
Undirrala66,Male,2,$2.74,$5.47
Sida61,Female,2,$2.71,$5.43
Lirtastsya71,Male,2,$2.71,$5.43
Chanosia60,Male,2,$2.71,$5.42
Aestysu37,Male,2,$2.69,$5.38
Pheosurllorin41,Female,2,$2.69,$5.38
Seosrim97,Male,2,$2.68,$5.36
Chamirra53,Male,2,$2.68,$5.36
Tyisur83,Male,3,$1.79,$5.36
Yadaphos40,Male,2,$2.68,$5.35
Undjaskla97,Male,2,$2.66,$5.32
Marynde90,Male,2,$2.66,$5.31
Maluncil97,Other / Non-Disclosed,2,$2.64,$5.28
Marilsa69,Female,2,$2.62,$5.25
Eyrian71,Male,2,$2.59,$5.19
Caesrinusuir82,Male,2,$2.59,$5.18
Chanjaskan89,Male,2,$2.58,$5.17
Ilirrasda54,Male,2,$2.53,$5.06
Tyialisudeu65,Male,2,$2.53,$5.05
Dyally87,Male,1,$4.99,$4.99
Eusurdeu49,Male,2,$2.47,$4.94
Chanirrasta87,Male,1,$4.94,$4.94
Yarithsurgue62,Male,1,$4.94,$4.94
Ririp86,Male,1,$4.94,$4.94
Lirtilsa71,Male,1,$4.94,$4.94
Iskichinya81,Female,2,$2.47,$4.94
Mindossa76,Male,1,$4.93,$4.93
Chadjask77,Male,1,$4.93,$4.93
Aeda94,Male,1,$4.91,$4.91
Aerithnuphos61,Male,1,$4.91,$4.91
Filurarn35,Male,1,$4.91,$4.91
Firan91,Male,1,$4.91,$4.91
Assilsan72,Female,1,$4.90,$4.90
Laedallo55,Male,1,$4.90,$4.90
Meosridil82,Male,1,$4.90,$4.90
Lisilsa62,Male,1,$4.88,$4.88
Ennalmol65,Male,1,$4.88,$4.88
Tyaelo67,Male,1,$4.88,$4.88
Ithergue48,Male,1,$4.88,$4.88
Poshilsa82,Male,1,$4.86,$4.86
Irithlis29,Male,1,$4.86,$4.86
Alaephos75,Male,1,$4.84,$4.84
Chamimla73,Male,1,$4.80,$4.80
Aeral97,Male,1,$4.80,$4.80
Maropast28,Male,1,$4.76,$4.76
Sundim98,Other / Non-Disclosed,1,$4.75,$4.75
Yastyriaphos75,Male,1,$4.75,$4.75
Saena74,Male,1,$4.74,$4.74
Undotesta33,Male,1,$4.74,$4.74
Asur96,Male,1,$4.74,$4.74
Marirrasta50,Male,1,$4.66,$4.66
Lassassast73,Male,1,$4.65,$4.65
Chamalo71,Male,1,$4.64,$4.64
Filrion59,Male,1,$4.64,$4.64
Iathenudil29,Male,1,$4.60,$4.60
Risty84,Male,1,$4.60,$4.60
Aidai53,Male,1,$4.60,$4.60
Eratiel90,Male,1,$4.60,$4.60
Ina92,Male,1,$4.58,$4.58
Phiallylis33,Male,1,$4.58,$4.58
Ilosian36,Male,1,$4.58,$4.58
Ceoral34,Male,1,$4.58,$4.58
Qilunan34,Male,1,$4.58,$4.58
Yoishirrala98,Female,1,$4.58,$4.58
Lirtossa60,Male,2,$2.28,$4.56
Eurithphos97,Male,2,$2.27,$4.55
Sondossa69,Male,1,$4.48,$4.48
Farusrian86,Male,1,$4.48,$4.48
Aiduesu86,Female,1,$4.48,$4.48
Ealrion88,Male,1,$4.48,$4.48
Yasur35,Male,1,$4.48,$4.48
Adastirin33,Female,1,$4.48,$4.48
Assastnya25,Male,1,$4.48,$4.48
Heosurnuru52,Female,2,$2.23,$4.46
Syally44,Male,2,$2.23,$4.46
Frichjask31,Male,1,$4.43,$4.43
Frichosia58,Female,1,$4.43,$4.43
Saerallora71,Male,1,$4.43,$4.43
Yarolwen77,Male,1,$4.43,$4.43
Iskjaskst81,Male,2,$2.21,$4.42
Yalostiphos68,Male,1,$4.40,$4.40
Haerithp41,Other / Non-Disclosed,1,$4.40,$4.40
Chamiman85,Male,1,$4.40,$4.40
Jiskadarst60,Male,1,$4.40,$4.40
Tyaenasti87,Female,1,$4.40,$4.40
Ealiril69,Male,1,$4.40,$4.40
Haisurra41,Female,1,$4.40,$4.40
Aeral43,Male,1,$4.40,$4.40
Quaecjask96,Male,1,$4.40,$4.40
Tyaelaelis94,Male,1,$4.40,$4.40
Inasuir29,Female,1,$4.40,$4.40
Taeduenu92,Female,1,$4.40,$4.40
Sondim73,Male,1,$4.40,$4.40
Aerithnucal56,Male,1,$4.40,$4.40
Filrion83,Male,1,$4.40,$4.40
Lirtimst73,Male,2,$2.19,$4.38
Indcil77,Male,1,$4.35,$4.35
Eoral49,Male,1,$4.35,$4.35
Marassa62,Male,1,$4.35,$4.35
Cosadar58,Male,1,$4.35,$4.35
Eyircil84,Male,1,$4.35,$4.35
Iskossasda43,Male,1,$4.35,$4.35
Assistasda90,Male,1,$4.35,$4.35
Ilaesudil92,Male,1,$4.35,$4.35
Lisossala30,Male,1,$4.35,$4.35
Marim28,Female,2,$2.17,$4.33
Aela59,Male,1,$4.32,$4.32
Chanossast57,Female,1,$4.32,$4.32
Chanjask65,Female,1,$4.32,$4.32
Sondimla25,Male,1,$4.32,$4.32
Ali84,Male,2,$2.15,$4.31
Lirtosia63,Male,2,$2.15,$4.29
Chadilsasta32,Male,2,$2.15,$4.29
Tyirinu79,Male,1,$4.24,$4.24
Syalollorap93,Female,1,$4.24,$4.24
Sidap51,Male,1,$4.24,$4.24
Ilimya66,Male,1,$4.23,$4.23
Rianistast50,Male,1,$4.23,$4.23
Quilassa66,Female,1,$4.23,$4.23
Quarrion42,Male,1,$4.23,$4.23
Frichirranya75,Male,1,$4.23,$4.23
Hyaduesu61,Male,1,$4.23,$4.23
Salilis27,Male,1,$4.23,$4.23
Aidaira26,Male,1,$4.23,$4.23
Lisirra87,Male,1,$4.23,$4.23
Mindista32,Male,1,$4.23,$4.23
Jiskjask80,Male,1,$4.19,$4.19
Lisico81,Male,1,$4.19,$4.19
Hiaral50,Male,3,$1.40,$4.19
Sisur91,Male,1,$4.19,$4.19
Pheutherin27,Male,1,$4.18,$4.18
Assylla81,Male,1,$4.18,$4.18
Reulae52,Female,1,$4.18,$4.18
Mindimnya67,Male,1,$4.18,$4.18
Eulaestira36,Male,2,$2.07,$4.14
Tyialisti80,Male,1,$4.14,$4.14
Yarithrin84,Female,1,$4.14,$4.14
Aeralria27,Male,1,$4.09,$4.09
Yadaisuir65,Male,1,$4.09,$4.09
Rilaera56,Male,1,$4.08,$4.08
Isty55,Male,1,$4.08,$4.08
Fironon91,Male,1,$4.08,$4.08
Minduri31,Male,1,$4.07,$4.07
Iasurriacal29,Male,1,$4.07,$4.07
Tyeuduen32,Male,1,$4.05,$4.05
Undare39,Male,2,$2.02,$4.04
Sundjask71,Female,1,$4.00,$4.00
Aeral68,Male,1,$4.00,$4.00
Lisast98,Male,1,$3.97,$3.97
Chanuchi25,Male,1,$3.97,$3.97
Phaestycal84,Male,2,$1.99,$3.97
Eodaisu60,Other / Non-Disclosed,1,$3.94,$3.94
Chadistaya75,Female,1,$3.94,$3.94
Frichaya88,Male,1,$3.93,$3.93
Chamadarsda63,Male,1,$3.92,$3.92
Aesty53,Male,2,$1.96,$3.91
Chadjask85,Male,1,$3.87,$3.87
Eulae84,Male,1,$3.87,$3.87
Mindirranya33,Male,1,$3.87,$3.87
Phaedue89,Female,1,$3.85,$3.85
Lisista54,Male,2,$1.92,$3.83
Pheusrical25,Male,1,$3.82,$3.82
Iduenu77,Female,1,$3.82,$3.82
Phaedasurap84,Male,1,$3.82,$3.82
Sondassasya91,Female,1,$3.81,$3.81
Hailaphos89,Male,1,$3.81,$3.81
Haeladil46,Male,1,$3.81,$3.81
Irillo49,Male,1,$3.79,$3.79
Lalossa38,Male,1,$3.77,$3.77
Haellysu29,Male,1,$3.77,$3.77
Undosia27,Male,1,$3.77,$3.77
Mindadaran26,Female,1,$3.75,$3.75
Yarithllodeu72,Male,1,$3.75,$3.75
Frichim77,Male,2,$1.88,$3.75
Firatan58,Male,1,$3.75,$3.75
Aellynun67,Male,1,$3.74,$3.74
Chanastsda67,Female,1,$3.70,$3.70
Nitherian58,Male,2,$1.84,$3.69
Tyeurith29,Male,1,$3.65,$3.65
Yalo85,Male,1,$3.65,$3.65
Lisosia66,Male,1,$3.65,$3.65
Raysistast71,Male,1,$3.65,$3.65
Iljask75,Male,1,$3.61,$3.61
Hilaerin92,Male,1,$3.61,$3.61
Chamistast30,Male,1,$3.58,$3.58
Tyeudariasuir90,Male,1,$3.58,$3.58
Chanastya70,Male,1,$3.58,$3.58
Yana46,Female,1,$3.55,$3.55
Frichosiala98,Female,1,$3.54,$3.54
Aethedru70,Female,1,$3.54,$3.54
Ilunyon70,Male,1,$3.54,$3.54
Tyaedainu44,Male,1,$3.54,$3.54
Lassassasda30,Male,1,$3.54,$3.54
Marokian45,Male,1,$3.53,$3.53
Marast30,Female,1,$3.53,$3.53
Firon67,Male,1,$3.53,$3.53
Aisurdru79,Female,2,$1.75,$3.51
Errian63,Female,1,$3.49,$3.49
Quanunwen42,Female,1,$3.49,$3.49
Lisasi93,Male,2,$1.74,$3.48
Heudai45,Female,1,$3.47,$3.47
Ryanara76,Male,1,$3.47,$3.47
Heollyriap59,Male,1,$3.47,$3.47
Lisista27,Male,1,$3.47,$3.47
Undimsya85,Male,1,$3.46,$3.46
Yathecal72,Male,1,$3.46,$3.46
Iskim66,Male,1,$3.46,$3.46
Aidain51,Female,1,$3.45,$3.45
Sondistanya61,Female,1,$3.45,$3.45
Alaesu91,Male,1,$3.45,$3.45
Airi27,Other / Non-Disclosed,1,$3.45,$3.45
Yarithrgue83,Male,1,$3.45,$3.45
Rairin89,Male,1,$3.45,$3.45
Undista85,Male,1,$3.45,$3.45
Lassirrasda85,Male,1,$3.44,$3.44
Peorith44,Male,1,$3.44,$3.44
Lisossanya98,Male,1,$3.44,$3.44
Yasrisu92,Male,1,$3.44,$3.44
Seolollo93,Male,1,$3.41,$3.41
Saena89,Male,1,$3.41,$3.41
Eodairu79,Male,1,$3.40,$3.40
Palyon91,Male,1,$3.39,$3.39
Isursuir31,Male,1,$3.39,$3.39
Rithe53,Female,1,$3.39,$3.39
Jiskirran77,Other / Non-Disclosed,1,$3.39,$3.39
Assassa81,Male,1,$3.39,$3.39
Lisjaskan36,Male,1,$3.36,$3.36
Aerillorin70,Male,1,$3.33,$3.33
Quaranmol58,Male,1,$3.33,$3.33
Iasur80,Male,2,$1.66,$3.32
Indonmol95,Male,1,$3.30,$3.30
Eusri26,Male,1,$3.27,$3.27
Tyananurgue44,Male,1,$3.27,$3.27
Chamassasya86,Male,1,$3.27,$3.27
Pheulidil31,Male,1,$3.27,$3.27
Lirtassan78,Male,1,$3.27,$3.27
Raisty38,Male,1,$3.27,$3.27
Alarap40,Male,1,$3.27,$3.27
Tyaelistidru84,Female,1,$3.26,$3.26
Lirtossa84,Male,2,$1.62,$3.24
Iaralrgue74,Male,2,$1.61,$3.23
Assirra56,Male,1,$3.19,$3.19
Iathem87,Male,1,$3.19,$3.19
Chanadar44,Male,1,$3.19,$3.19
Chadossa89,Male,1,$3.19,$3.19
Ialidru40,Male,1,$3.16,$3.16
Mindetosya30,Male,1,$3.16,$3.16
Chanista95,Male,1,$3.16,$3.16
Jiskossa61,Male,1,$3.16,$3.16
Idaisuir85,Male,1,$3.15,$3.15
Sondilsaya62,Male,1,$3.14,$3.14
Chamadar79,Male,1,$3.14,$3.14
Lirtirra37,Male,1,$3.14,$3.14
Lisossa25,Male,2,$1.56,$3.12
Iana95,Male,1,$3.10,$3.10
Ethriel85,Male,1,$3.10,$3.10
Asty82,Male,1,$3.09,$3.09
Eusri44,Male,1,$3.09,$3.09
Haedairiadru51,Male,1,$3.09,$3.09
Aina43,Male,1,$3.09,$3.09
Farrian71,Male,1,$3.08,$3.08
Aidai73,Male,1,$3.08,$3.08
Frichossala54,Male,1,$3.08,$3.08
Eosrirgue62,Male,1,$3.08,$3.08
Aellyria80,Male,1,$3.08,$3.08
Maridisya31,Male,1,$3.08,$3.08
Shaidanu32,Male,1,$3.08,$3.08
Hisridru55,Male,1,$3.08,$3.08
Quanrion96,Female,1,$3.08,$3.08
Iskosian40,Male,1,$3.07,$3.07
Chamadarnya73,Male,1,$3.07,$3.07
Heollyra92,Male,1,$3.07,$3.07
Chamirrasya33,Female,2,$1.52,$3.05
Yaliru88,Male,1,$3.03,$3.03
Marilsanya48,Male,1,$3.03,$3.03
Iskirra45,Male,1,$3.03,$3.03
Qilanrion65,Male,1,$3.03,$3.03
Aenarap34,Male,1,$2.96,$2.96
Tyalaesu89,Male,1,$2.96,$2.96
Aeralstical35,Male,1,$2.96,$2.96
Chanosia34,Male,1,$2.96,$2.96
Lisirra58,Female,1,$2.96,$2.96
Assjaskan56,Male,1,$2.96,$2.96
Tyeoralru41,Male,1,$2.94,$2.94
Lisassasda39,Male,1,$2.94,$2.94
Lisassala98,Male,1,$2.92,$2.92
Aillyrin83,Female,1,$2.89,$2.89
Undirra73,Male,1,$2.89,$2.89
Lisassa64,Female,1,$2.89,$2.89
Inasti31,Male,2,$1.45,$2.89
Lisjaskya84,Male,1,$2.89,$2.89
Eudanu32,Female,1,$2.85,$2.85
Thrientossa55,Male,1,$2.85,$2.85
Eustyria89,Male,1,$2.85,$2.85
Ililsan66,Male,1,$2.85,$2.85
Sundadarla27,Male,1,$2.85,$2.85
Chamjaskya75,Male,1,$2.84,$2.84
Ilosianya35,Male,1,$2.84,$2.84
Wailin72,Female,1,$2.73,$2.73
Maradaran90,Female,1,$2.73,$2.73
Hirirap39,Male,2,$1.35,$2.71
Marilsasya33,Male,2,$1.35,$2.70
Eulasuir89,Male,1,$2.67,$2.67
Eulolis41,Male,1,$2.67,$2.67
Frichadar89,Male,1,$2.67,$2.67
Mindjasksya61,Male,1,$2.60,$2.60
Sondassan80,Male,1,$2.60,$2.60
Lisirra25,Male,1,$2.52,$2.52
Chanilsasda38,Male,1,$2.52,$2.52
Hiarideu73,Male,1,$2.50,$2.50
Alim85,Male,1,$2.50,$2.50
Lisossa46,Male,1,$2.50,$2.50
Lassjaskan73,Male,1,$2.50,$2.50
Ermol76,Male,1,$2.50,$2.50
Tyidainu31,Female,1,$2.49,$2.49
Alaesu77,Male,1,$2.49,$2.49
Ethron58,Male,1,$2.49,$2.49
Lirtastan49,Male,1,$2.48,$2.48
Yadam35,Male,1,$2.48,$2.48
Siralsudeu54,Male,2,$1.23,$2.45
Sundassa93,Male,1,$2.45,$2.45
Syathecal44,Male,1,$2.42,$2.42
Malon70,Male,1,$2.38,$2.38
Yadanu52,Male,1,$2.38,$2.38
Mindilsa34,Female,1,$2.37,$2.37
Maradarnya40,Male,1,$2.37,$2.37
Palatyon26,Male,1,$2.37,$2.37
Adairialis76,Male,1,$2.28,$2.28
Quanenrian83,Male,1,$2.27,$2.27
Rastynusuir31,Male,1,$2.27,$2.27
Liawista80,Male,1,$2.27,$2.27
Lisiriya82,Male,1,$2.27,$2.27
Jiskjask60,Female,1,$2.22,$2.22
Ilassa51,Male,1,$2.22,$2.22
Ethralista69,Male,1,$2.22,$2.22
Rairith81,Other / Non-Disclosed,1,$2.22,$2.22
Chamirraya83,Male,1,$2.22,$2.22
Aesur96,Male,1,$2.21,$2.21
Ili43,Male,1,$2.18,$2.18
Sastydeu50,Male,1,$2.18,$2.18
Itheria73,Male,1,$2.18,$2.18
Aerithriaphos46,Male,1,$2.18,$2.18
Malil90,Male,1,$2.18,$2.18
Marughi89,Male,1,$2.18,$2.18
Eurisuru25,Male,1,$2.18,$2.18
Chanilsast61,Male,1,$2.08,$2.08
Irith83,Male,1,$2.07,$2.07
Idacal95,Male,1,$2.07,$2.07
Tyaelly53,Female,1,$2.07,$2.07
Hariphos58,Male,1,$2.05,$2.05
Chamastya76,Male,1,$2.05,$2.05
Seuthep89,Male,1,$2.05,$2.05
Frichast28,Male,1,$2.05,$2.05
Thryallym62,Male,1,$2.05,$2.05
Jeyciman68,Male,1,$2.05,$2.05
Chadirra90,Male,1,$2.05,$2.05
Chamast86,Female,1,$2.05,$2.05
Ilast79,Male,1,$2.05,$2.05
Ethrasyon38,Male,1,$2.04,$2.04
Lisadar44,Male,1,$1.98,$1.98
Hiral75,Male,1,$1.98,$1.98
Chadossa56,Male,1,$1.98,$1.98
Haestyphos66,Male,1,$1.97,$1.97
Raillydeu47,Male,1,$1.97,$1.97
Chanosiaya39,Male,1,$1.97,$1.97
Ilastilis78,Male,1,$1.97,$1.97
Siana77,Male,1,$1.97,$1.97
Lassjask63,Male,1,$1.94,$1.94
Undirrasta89,Male,1,$1.94,$1.94
Lisassasta50,Male,1,$1.94,$1.94
Lisotesta51,Female,1,$1.94,$1.94
Jiskassa76,Male,1,$1.87,$1.87
Ristydru66,Male,1,$1.87,$1.87
Aisurria69,Male,1,$1.79,$1.79
Frichaststa61,Female,1,$1.79,$1.79
Aelaria33,Male,1,$1.79,$1.79
Eosurdru76,Male,1,$1.79,$1.79
Undilsan50,Male,1,$1.79,$1.79
Eulanurin88,Male,1,$1.79,$1.79
Phiristi62,Male,1,$1.79,$1.79
Indirrian56,Male,1,$1.77,$1.77
Sundista37,Male,1,$1.77,$1.77
Chamossa77,Male,1,$1.77,$1.77
Qilatista90,Male,1,$1.76,$1.76
Aesri53,Male,1,$1.76,$1.76
Undassa89,Male,1,$1.76,$1.76
Saisrilis27,Male,1,$1.75,$1.75
Iarallo65,Male,1,$1.75,$1.75
Assehoan67,Male,1,$1.75,$1.75
Sondadarya58,Male,1,$1.75,$1.75
Marundi65,Male,1,$1.75,$1.75
Ennoncil86,Male,1,$1.74,$1.74
Lisista63,Male,1,$1.74,$1.74
Tyaerith73,Male,1,$1.71,$1.71
Iadueria43,Male,1,$1.71,$1.71
Assim27,Male,1,$1.70,$1.70
Arirgue63,Male,1,$1.70,$1.70
Assjaskan73,Male,1,$1.70,$1.70
Eoralrap26,Male,1,$1.70,$1.70
Layjask75,Female,1,$1.70,$1.70
Haerith37,Male,1,$1.66,$1.66
Hallysucal81,Male,1,$1.66,$1.66
Iasursti71,Male,1,$1.66,$1.66
Styaduen40,Male,1,$1.66,$1.66
Ilassast39,Male,1,$1.63,$1.63
Frichynde86,Male,1,$1.63,$1.63
Phistyn52,Male,1,$1.63,$1.63
Aeri84,Male,1,$1.61,$1.61
Hiasurria41,Male,1,$1.61,$1.61
Eusur90,Male,1,$1.60,$1.60
Ingatcil75,Male,1,$1.56,$1.56
Pheodai94,Male,1,$1.56,$1.56
Lirtirra81,Male,1,$1.56,$1.56
Aerithriaphos45,Male,1,$1.56,$1.56
Lisovynya38,Male,1,$1.56,$1.56
Ardonmol96,Male,1,$1.55,$1.55
Isursti83,Male,1,$1.54,$1.54
Heunadil74,Female,1,$1.54,$1.54
Assesi91,Male,1,$1.54,$1.54
Chanirra64,Male,1,$1.54,$1.54
Qarirwen82,Male,1,$1.54,$1.54
Eolan54,Male,1,$1.54,$1.54
Phiarithdeu40,Male,1,$1.48,$1.48
Minduli80,Male,1,$1.44,$1.44
Iskosia90,Male,1,$1.44,$1.44
Thourdirra92,Male,1,$1.44,$1.44
Marjask87,Male,1,$1.44,$1.44
Frichilsa31,Male,1,$1.44,$1.44
Malarrian73,Male,1,$1.40,$1.40
Syathe73,Female,1,$1.40,$1.40
Jiskjask85,Male,1,$1.33,$1.33
Assosia88,Female,1,$1.33,$1.33
Iskim96,Male,1,$1.33,$1.33
Sally64,Female,1,$1.33,$1.33
Lirtim36,Other / Non-Disclosed,1,$1.33,$1.33
Shidai42,Male,1,$1.33,$1.33
Philodil43,Male,1,$1.29,$1.29
Eyista89,Male,1,$1.29,$1.29
Mindilsa60,Male,1,$1.28,$1.28
Tyarithn67,Male,1,$1.14,$1.14
Aisur51,Male,1,$1.14,$1.14
Ilista82,Male,1,$1.14,$1.14
Jiskimsda56,Male,1,$1.14,$1.14
Aillyriadru65,Male,1,$1.10,$1.10
Eryon48,Male,1,$1.10,$1.10
Iduelis31,Male,1,$1.10,$1.10
Yasur85,Male,1,$1.10,$1.10
Undjask33,Male,1,$1.10,$1.10
Lirtassa52,Male,1,$1.09,$1.09
Aelidru27,Male,1,$1.09,$1.09
Yalaeria91,Male,1,$1.06,$1.06
Aesurstilis64,Male,1,$1.03,$1.03
Saida58,Male,1,$1.03,$1.03
Euthe35,Male,1,$1.03,$1.03
Hala31,Male,1,$1.02,$1.02
Qilalista41,Male,1,$1.02,$1.02
Frichjaskan98,Male,1,$1.02,$1.02
Isurria36,Female,1,$1.02,$1.02
Eudanu84,Female,1,$1.02,$1.02
Ililsasya43,Male,1,$1.02,$1.02
Irilis75,Male,1,$1.02,$1.02
Aidai61,Male,1,$1.01,$1.01
Chanirra79,Female,1,$1.01,$1.01
Alo38,Male,1,$1.00,$1.00
